car, [color, range, price]
Jacket, [price, warmth]
Headphone, [price, battery life, durability]
Laptop, [Display size, Processor speed, Memory capacity]
Smartphone, [Camera quality, Operating system, Battery life]
TV, [Screen size, Resolution, Smart capabilities]
Refrigerator, [Capacity, Energy efficiency, Ice maker]
Washing machine, [Load capacity, Spin speed, Energy efficiency]
Oven, [Cooking modes, Size, Energy efficiency]
Bicycle, [Frame material, Number of gears, Suspension]
Vacuum cleaner, [Suction power, Cord length]
Coffee maker, [Brewing capacity, Programmability]
Watch, [Style, Water resistance, Battery life]
Sofa, [Material, Size, Reclining features]
Drone, [Camera quality, Flight time, GPS capabilities]
Refrigerator, [Capacity, Freezer size, Energy Star rating]
Blender, [Motor power, Speed settings, Blade quality]
Gaming console, [Graphics quality, Game library, Storage capacity]
Microwave, [Wattage, Size, Cooking presets]
Backpack, [Size, Material, Compartments]
Camera, [Megapixels, Lens options, Image stabilization]
Electric toothbrush, [Battery life, Brush head replacement, Cleaning modes]
GPS navigation system, [Screen size, Traffic updates, Voice guidance]
Running shoes, [Cushioning, Arch support, Breathability]
Drone, [Flight range, GPS tracking, Return-to-home feature]
Electric scooter, [Range, Maximum speed, Foldability]
Refrigerator, [Ice and water dispenser, Temperature control, Shelves]
Gaming mouse, [DPI sensitivity, Programmable buttons, RGB lighting]
Vacuum cleaner, [Allergen filtration, Weight]
Telescope, [Aperture size, Magnification, Mount type]
Fitness tracker, [Heart rate monitoring, Sleep tracking, Water resistance]
Lawnmower, [Cutting width, Self-propelled, Grass bag capacity]
E-reader, [Screen type, Battery life, Storage capacity]
Drone, [Obstacle avoidance, Follow-me mode, Video resolution]
Cookware set, [Material, Number of pieces, Non-stick coating]
Binoculars, [Magnification, Field of view, Lens coating]
Coffee grinder, [Grind settings, Burr or blade, Capacity]
Vacuum cleaner, [Noise level, Cordless or corded, Attachments]
Snowboard, [Length, Flexibility, Shape]
Smart thermostat, [Compatibility, Programming options, Energy savings]
Digital camera, [Zoom range, Low-light performance, Video recording]
Smartwatch, [Fitness tracking, App compatibility, Water resistance]
Treadmill, [Motor horsepower, Incline options, Foldability]
Blender, [Jar material, Pulse function, Ice crushing capability]
Kayak, [Type (recreational, touring, etc.), Weight capacity, Length]
Wireless router, [Speed, Range, Number of Ethernet ports]
Power drill, [Voltage, Chuck size, Battery type]
Mountain bike, [Frame material, Suspension type, Wheel size]
Robot vacuum, [Mapping technology, Cleaning modes, Battery life]
DSLR camera, [Sensor size, ISO range, Viewfinder type]
Fishing rod, [Length, Action, Material]
Portable air conditioner, [BTU rating, Noise level, Energy efficiency]
Telescope, [Aperture size, Mount type, Included accessories]
